"package_name","category","id"
"pandas","data-containers","1"
"scipy","others","2"
"torch","ml-frameworks","4"
"transformers","nlp","5"
"xgboost","ml-frameworks","6"
"numpy","data-containers","7"
"seaborn","data-viz","8"
"tensorflow","ml-frameworks","9"
"scikit-learn","ml-frameworks","10"
"pyspark","ml-frameworks","11"
"spacy","nlp","12"
"matplotlib","data-viz","13"
"pyarrow","data-containers","14"
"tensorboard","ml-experiments","16"
"shap","interpretability","18"
"lightgbm","ml-frameworks","19"
"gensim","nlp","20"
"plotly","data-viz","21"
"h5py","data-containers","22"
"nltk","nlp","25"
"networkx","graph","26"
"theano","ml-frameworks","27"
"Pillow","image","28"
"dask","distributed-ml","31"
"scikit-image","image","32"
"joblib","data-pipelines","33"
"tensorflow-addons","tensorflow-utils","34"
"bokeh","data-viz","36"
"statsmodels","ml-frameworks","41"
"optuna","hyperopt","42"
"geopandas","geospatial-data","44"
"thinc","ml-frameworks","45"
"imageio","image","46"
"fastai","ml-frameworks","48"
"imgaug","image","51"
"torchvision","image","56"
"albumentations","image","57"
"textblob","nlp","60"
"altair","data-viz","61"
"hyperopt","hyperopt","62"
"imbalanced-learn","sklearn-utils","63"
"cupy","gpu-utilities","64"
"umap-learn","data-viz","65"
"mlxtend","sklearn-utils","66"
"geopy","geospatial-data","67"
"numexpr","data-containers","68"
"distributed","distributed-ml","70"
"graphviz","data-viz","71"
"keras","ml-frameworks","72"
"fuzzywuzzy","nlp","75"
"wordcloud","data-viz","76"
"tensorboardX","ml-experiments","79"
"catboost","ml-frameworks","80"
"shapely","geospatial-data","85"
"opencv-python","image","86"
"pyproj","geospatial-data","89"
"fasttext","nlp","91"
"lime","interpretability","95"
"pydub","audio","99"
"chainer","ml-frameworks","100"
"sentencepiece","nlp","101"
"einops","ml-frameworks","105"
"keras-tuner","hyperopt","109"
"scikit-optimize","hyperopt","111"
"ImageHash","image","112"
"category_encoders","sklearn-utils","113"
"fiona","geospatial-data","115"
"snowballstemmer","nlp","117"
"face_recognition","image","118"
"dgl","graph","127"
"pretrainedmodels","pytorch-utils","129"
"autokeras","hyperopt","130"
"bayesian-optimization","hyperopt","139"
"autograd","others","140"
"folium","geospatial-data","141"
"missingno","data-viz","149"
"cufflinks","data-viz","152"
"holoviews","data-viz","155"
"tables","data-containers","160"
"keras-preprocessing","tensorflow-utils","161"
"patsy","probabilistics","164"
"Bottleneck","data-containers","165"
"tpot","hyperopt","169"
"pymc3","probabilistics","170"
"deap","distributed-ml","175"
"ftfy","nlp","184"
"torchtext","nlp","186"
"pmdarima","time-series-data","198"
"blis","others","203"
"tokenizers","nlp","212"
"interpret","interpretability","214"
"skorch","ml-frameworks","216"
"plotnine","data-viz","222"
"nlpaug","nlp","227"
"sklearn-pandas","data-containers","229"
"torchaudio","audio","238"
"arviz","interpretability","242"
"kmodes","others","245"
"pynndescent","nn-search","247"
"audioread","audio","250"
"tsfresh","time-series-data","261"
"librosa","audio","264"
"torchsummary","pytorch-utils","273"
"eli5","interpretability","280"
"mtcnn","image","291"
"vadersentiment","nlp","322"
"scikit-plot","interpretability","331"
"pandarallel","data-containers","338"
"fancyimpute","sklearn-utils","348"
"bcolz","data-containers","351"
"soundfile","audio","357"
"facenet-pytorch","image","376"
"efficientnet","tensorflow-utils","385"
"livelossplot","ml-experiments","392"
"segmentation_models","image","475"
"stumpy","time-series-data","484"
"datatable","data-containers","496"
"geffnet","pytorch-utils","497"
"scikit-multilearn","sklearn-utils","513"
"iterative-stratification","sklearn-utils","519"
"autoviz","data-viz","521"
"pandas-summary","data-containers","527"
"sweetviz","data-viz","547"
"nvidia-ml-py3","gpu-utilities","586"
"cudf","gpu-utilities","589"
"cleanlab","others","594"
"mlens","others","623"
"cuml","gpu-utilities","704"
"tez","pytorch-utils","718"
"textaugment","nlp","734"
"dabl","sklearn-utils","800"
"sklearn","ml-frameworks","834"
