"api","lib","label","num"
"accelerate.Accelerator","accelerate","MT","4"
"adabound.AdaBound","adabound","MT",
"albumentations.augmentations.bbox_utils.denormalize_bbox","albumentations","FE","2"
"albumentations.augmentations.bbox_utils.denormalize_bboxes","albumentations","FE","2"
"albumentations.augmentations.bbox_utils.normalize_bbox","albumentations","FE","2"
"albumentations.augmentations.bbox_utils.normalize_bboxes","albumentations","FE","2"
"albumentations.augmentations.functional.rotate","albumentations","FE","6"
"albumentations.augmentations.geometric.transforms.Affine","albumentations","FE","2"
"albumentations.augmentations.geometric.transforms.Perspective","albumentations","FE","1"
"albumentations.augmentations.transforms.ChannelDropout","albumentations","FE","2"
"albumentations.augmentations.transforms.GridDistortion","albumentations","FE","2"
"albumentations.augmentations.transforms.GridDropout","albumentations","FE","1"
"albumentations.augmentations.transforms.HueSaturationValue","albumentations","FE","2"
"albumentations.augmentations.transforms.Normalize","albumentations","FE","2"
"albumentations.augmentations.transforms.PadIfNeeded","albumentations","FE","1"
"albumentations.augmentations.transforms.RandomCrop","albumentations","FE","3"
"albumentations.augmentations.transforms.Resize","albumentations","FE","3"
"albumentations.augmentations.transforms.RGBShift","albumentations","FE","2"
"albumentations.augmentations.transforms.Rotate","albumentations","FE","3"
"albumentations.BboxParams","albumentations","FE","39"
"albumentations.Blur","albumentations","FE","39"
"albumentations.CenterCrop","albumentations","FE","135"
"albumentations.ChannelDropout","albumentations","MT","1"
"albumentations.ChannelShuffle","albumentations","FE","1"
"albumentations.CLAHE","albumentations","FE","36"
"albumentations.CoarseDropout","albumentations","FE","113"
"albumentations.ColorJitter","albumentations","FE","14"
"albumentations.Compose","albumentations","FE","675"
"albumentations.core.composition.Compose","albumentations","FE","1"
"albumentations.Cutout","albumentations","FE","141"
"albumentations.ElasticTransform","albumentations","FE","30"
"albumentations.Emboss","albumentations","FE","1"
"albumentations.Flip","albumentations","FE","53"
"albumentations.GaussianBlur","albumentations","FE","27"
"albumentations.GaussNoise","albumentations","FE","33"
"albumentations.GlassBlur","albumentations","FE","1"
"albumentations.GridDistortion","albumentations","FE","39"
"albumentations.HorizontalFlip","albumentations","FE","348"
"albumentations.HueSaturationValue","albumentations","FE","196"
"albumentations.IAAAdditiveGaussianNoise","albumentations","FE","8"
"albumentations.IAAAffine","albumentations","FE","5"
"albumentations.IAAEmboss","albumentations","FE","9"
"albumentations.IAAPerspective","albumentations","FE","2"
"albumentations.IAAPiecewiseAffine","albumentations","FE","8"
"albumentations.IAASharpen","albumentations","FE","16"
"albumentations.ImageCompression","albumentations","FE","2"
"albumentations.InvertImg","albumentations","FE",
"albumentations.ISONoise","albumentations","FE","1"
"albumentations.JpegCompression","albumentations","FE","19"
"albumentations.Lambda","albumentations","FE","3"
"albumentations.LongestMaxSize","albumentations","FE","4"
"albumentations.MedianBlur","albumentations","FE","17"
"albumentations.MotionBlur","albumentations","FE","17"
"albumentations.MultiplicativeNoise","albumentations","FE","3"
