DCO:pandas DCL: FE:,1134,
DCO:pandas DCL: FE:sklearn,590,
DCO:numpy pandas DCL: FE:,292,
DCO:pandas DCL: FE:pandas,210,
DCO:pandas DCL:numpy FE:,207,
DCO:lightgbm pandas DCL: FE:,156,
DCO:pandas DCL: FE:numpy,148,
DCO:numpy pandas DCL:numpy FE:,135,
DCO:pandas tensorflow DCL: FE:tensorflow,132,
DCO:numpy pandas DCL: FE:sklearn,126,
DCO:numpy pandas torch DCL: FE:,110,
DCO:pandas DCL: FE:keras,104,
DCO:pandas tensorflow DCL: FE:,100,
DCO:pandas DCL:numpy FE:sklearn,96,
DCO:opencv-python numpy pandas torch DCL: FE:albumentations opencv-python,96,
DCO:nltk pandas DCL:nltk FE:nltk sklearn,94,
DCO:numpy pandas tensorflow DCL: FE:,88,
DCO:numpy pandas DCL: FE:numpy,82,
DCO:pandas DCL: FE:pandas sklearn,80,
DCO:nltk pandas DCL: FE:nltk sklearn,69,
DCO:numpy pandas DCL:numpy FE:numpy,62,
DCO:opencv-python pandas DCL: FE:opencv-python,62,
DCO:pandas torch DCL: FE:,61,
DCO:pandas torch DCL: FE:torchvision,60,
DCO:pandas DCL:keras FE:keras,59,
DCO:pandas tensorflow DCL:tensorflow FE:numpy tensorflow,59,
DCO:numpy pandas tensorflow DCL: FE:tensorflow,54,
DCO:numpy pandas tensorflow DCL:tensorflow FE:numpy tensorflow,54,
DCO:opencv-python numpy pandas torch DCL:torch FE:albumentations opencv-python,52,
DCO:nltk pandas DCL:nltk FE:sklearn,50,
DCO:numpy pandas DCL: FE:tensorflow,50,
DCO:nltk pandas DCL: FE:sklearn,49,
DCO:numpy pandas DCL:numpy FE:sklearn,49,
DCO:numpy pandas DCL: FE:keras,48,
DCO:numpy pandas DCL: FE:numpy sklearn,46,
DCO:pandas DCL:pandas FE:,46,
DCO:pandas DCL: FE:category_encoders,44,
DCO:opencv-python numpy pandas torch DCL: FE:albumentations,42,
DCO:opencv-python pandas torch DCL: FE:albumentations opencv-python,42,
DCO:pandas DCL: FE:optuna,41,
DCO:numpy pandas tensorflow DCL:numpy tensorflow FE:numpy tensorflow,39,
DCO:opencv-python numpy pandas DCL: FE:opencv-python,38,
DCO:numpy pandas DCL: FE:opencv-python,36,
DCO:opencv-python numpy pandas DCL: FE:opencv-python keras,35,
DCO:opencv-python numpy pandas DCL: FE:opencv-python numpy,35,
DCO:numpy pandas DCL: FE:pandas sklearn,34,
DCO:pandas DCL:numpy FE:numpy,34,
DCO:pandas tensorflow DCL:tensorflow FE:tensorflow,34,
DCO:numpy pandas torch DCL:numpy FE:torch,33,
DCO:pandas DCL: FE:numpy sklearn,33,
DCO:pandas DCL:sklearn FE:sklearn,33,
DCO:numpy pandas DCL: FE:opencv-python numpy tensorflow,33,
DCO:pandas torch DCL: FE:opencv-python torchvision,32,
DCO:pandas torch DCL:tokenizers torch FE:,32,
DCO:numpy pandas DCL: FE:pandas,31,
DCO:pandas torch DCL:tokenizers FE:torch,31,
DCO:numpy pandas DCL:pandas FE:numpy tensorflow,31,
DCO:lightgbm pandas DCL: FE:lightgbm,30,
DCO:numpy pandas torch DCL: FE:pandas sklearn,29,
DCO:pandas torch DCL:torch FE:,28,
DCO:lightgbm numpy pandas DCL:joblib numpy FE:lightgbm numpy sklearn,28,
DCO:pandas DCL:xgboost FE:,26,
DCO:lightgbm numpy pandas DCL: FE:,26,
DCO:pandas DCL:tokenizers FE:numpy,26,
DCO:numpy pandas torch DCL:numpy FE:,25,
DCO:numpy pandas torch DCL: FE:torch,25,
DCO:lightgbm pandas DCL:numpy FE:,25,
DCO:opencv-python numpy pandas torch DCL:cudf numpy FE:albumentations cuml opencv-python,25,
DCO:numpy pandas DCL:tensorflow FE:,24,
DCO:pandas torch DCL: FE:torch,24,
DCO:pandas DCL:tensorflow FE:,24,
DCO:pandas DCL:numpy FE:pandas,24,
DCO:numpy pandas DCL: FE:opencv-python pandas,24,
DCO:pandas DCL:numpy FE:numpy sklearn,23,
DCO:numpy pandas torch DCL: FE:torchvision,23,
DCO:opencv-python pandas DCL: FE:keras,23,
DCO:pandas tensorflow DCL: FE:numpy,22,
DCO:pandas DCL: FE:scipy sklearn,22,
DCO:librosa pandas torch DCL: FE:opencv-python librosa numpy,22,
DCO:pandas DCL:joblib numpy FE:numpy,21,
DCO:numpy pandas DCL:numpy FE:numpy sklearn,21,
DCO:opencv-python pandas DCL: FE:opencv-python keras,21,
DCO:numpy pandas torch DCL: FE:transformers,20,
DCO:pandas torch DCL:numpy FE:torch,20,
DCO:opencv-python pandas torch DCL: FE:opencv-python torchvision,20,
DCO:keras numpy pandas DCL: FE:keras,20,
DCO:numpy pandas DCL:keras FE:keras,20,
DCO:lightgbm pandas DCL: FE:category_encoders,20,
DCO:lightgbm pandas DCL: FE:sklearn,19,
DCO:keras numpy pandas DCL: FE:keras sklearn,19,
DCO:nltk numpy pandas DCL: FE:nltk sklearn,18,
DCO:nltk pandas DCL: FE:,18,
DCO:numpy pandas tensorflow DCL: FE:numpy,18,
DCO:pandas tensorflow DCL: FE:numpy tensorflow,18,
DCO:opencv-python numpy pandas DCL:numpy FE:opencv-python numpy,18,
DCO:lightgbm pandas DCL: FE:pandas,18,
DCO:numpy pandas DCL:keras FE:keras numpy,18,
DCO:numpy pandas DCL:keras numpy FE:keras,18,
DCO:opencv-python numpy pandas torch DCL:numpy torch FE:albumentations opencv-python,18,
DCO:opencv-python pandas tensorflow DCL:numpy FE:opencv-python tensorflow,18,
DCO:numpy torch DCL:numpy FE:torch,18,
DCO:pandas DCL: FE:scipy,17,
DCO:numpy pandas torch DCL: FE:sklearn,17,
DCO:nltk numpy pandas DCL: FE:,17,
DCO:pandas DCL: FE:keras numpy,17,
DCO:numpy pandas torch DCL: FE:albumentations numpy,17,
DCO:opencv-python numpy pandas tensorflow DCL:numpy tensorflow FE:opencv-python numpy tensorflow,17,
DCO:pandas DCL: FE:nltk,17,
DCO:numpy pandas DCL:numpy FE:pandas,17,
DCO:opencv-python numpy pandas torch DCL:torch FE:opencv-python,17,
DCO:numpy pandas DCL:pandas FE:,17,
DCO:numpy pandas tensorflow DCL:tokenizers FE:transformers,17,
DCO:opencv-python pandas DCL: FE:opencv-python numpy,16,
DCO:opencv-python pandas DCL:numpy FE:opencv-python keras,16,
DCO:pandas DCL: FE:category_encoders sklearn,16,
DCO:numpy pandas DCL:tokenizers FE:numpy tensorflow,16,
DCO:pandas torch DCL: FE:numpy,15,
DCO:lightgbm pandas DCL:joblib numpy FE:numpy,15,
DCO:numpy pandas torch DCL:numpy FE:numpy torch,15,
DCO:opencv-python pandas DCL: FE:,15,
