"sklearn.preprocessing.StandardScaler, sklearn.compose.ColumnTransformer, sklearn.preprocessing.OneHotEncoder, sklearn.impute.SimpleImputer, sklearn.metrics.f1_score, sklearn.pipeline.Pipeline, sklearn.model_selection.train_test_split, ","memory baseline better","[scikit-learn]","1077:2, 1077:3","scikit-learn:1.0.1",
"sklearn.preprocessing.StandardScaler, sklearn.compose.ColumnTransformer, sklearn.preprocessing.OneHotEncoder, sklearn.impute.SimpleImputer, sklearn.metrics.f1_score, sklearn.pipeline.Pipeline, sklearn.model_selection.train_test_split, ","memory variant better","[scikit-learn]","1077:6, 1077:7","scikit-learn:0.21.3, scikit-learn:0.20.3",
"xgboost.XGBClassifier, ","memory baseline better","[xgboost]","1079:1, 1079:2, 1079:3, 1079:4, 1079:5, 1079:6, 1134:4, 1134:5, 1134:6, 1359:2, 3486:4, 17638:1, 17638:2, 17638:3, 17638:4, 17638:5, 17638:6, 19563:3, 19563:5, 19853:2, 20072:2, 20096:2, 20258:2, 20258:6, 20421:4, 20433:2, 20449:2, 20500:2, 20549:2, 20650:2, 24894:1, 24969:1, 24969:2","xgboost:1.5.1, xgboost:1.4.2, xgboost:1.3.3, xgboost:1.2.1, xgboost:1.1.1, xgboost:1.0.2",
"sklearn.preprocessing.MinMaxScaler, sklearn.compose.ColumnTransformer, sklearn.preprocessing.OneHotEncoder, sklearn.impute.SimpleImputer, sklearn.pipeline.Pipeline, ","time baseline bettermemory baseline better","[scikit-learn]","1079:2, 1079:3","scikit-learn:1.0.1",
"sklearn.preprocessing.MinMaxScaler, sklearn.compose.ColumnTransformer, sklearn.preprocessing.OneHotEncoder, sklearn.impute.SimpleImputer, sklearn.pipeline.Pipeline, ","time baseline better","[scikit-learn]","1079:4","scikit-learn:1.0.1",
"sklearn.preprocessing.MinMaxScaler, sklearn.compose.ColumnTransformer, sklearn.preprocessing.OneHotEncoder, sklearn.impute.SimpleImputer, sklearn.pipeline.Pipeline, ","time variant better","[scikit-learn]","1079:5","scikit-learn:1.0.1",
"sklearn.preprocessing.MinMaxScaler, sklearn.compose.ColumnTransformer, sklearn.preprocessing.OneHotEncoder, sklearn.impute.SimpleImputer, sklearn.pipeline.Pipeline, ","time variant bettermemory variant better","[scikit-learn]","1079:6","scikit-learn:1.0.1",
"sklearn.preprocessing.MinMaxScaler, sklearn.compose.ColumnTransformer, sklearn.preprocessing.OneHotEncoder, sklearn.impute.SimpleImputer, sklearn.pipeline.Pipeline, ","time baseline bettermemory variant better","[scikit-learn]","1079:7","scikit-learn:1.0.1",
"xgboost.XGBClassifier, ","time baseline bettermemory baseline betterscore inconsistent","[xgboost]","1079:7, 1134:7, 17676:7, 17718:7, 24528:7, 24533:7, 24572:7, 25132:2, 25132:5, 25132:7","xgboost:0.90, xgboost:1.4.2, xgboost:1.1.1",
"lightgbm.LGBMRegressor, lightgbm.LGBMClassifier, ","memory variant betterscore inconsistent","[lightgbm]","1080:2, 1080:3, 1080:4","lightgbm:3.2.1, lightgbm:3.1.1, lightgbm:3.0.0",
