"trigger_API","trigger_package","API","package","related_package_version","error_type","error_description"
"imblearn.over_sampling.SMOTE","imblearn","sklearn.externals.six","sklearn","[{""package"": ""imbalanced-learn"", ""version"": ""0.4.3""}, {""package"": ""scikit-learn"", ""version"": ""1.0.1""}]","ImportError","ImportError: cannot import name 'six' from 'sklearn.externals'"
"imblearn.over_sampling.SMOTE","imblearn","sklearn.utils.safe_indexing","sklearn","[{""package"": ""imbalanced-learn"", ""version"": ""0.3.3""}, {""package"": ""scikit-learn"", ""version"": ""1.0.1""}]","ImportError","ImportError: cannot import name 'safe_indexing' from 'sklearn.utils'"
"tensorflow.set_random_seed","tensorflow","tensorflow.set_random_seed","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.7.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'set_random_seed'"
"tensorflow.set_random_seed","tensorflow","tensorflow.set_random_seed","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.4.1""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'set_random_seed'"
"tensorflow.set_random_seed","tensorflow","tensorflow.set_random_seed","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'set_random_seed'"
"tensorflow.set_random_seed","tensorflow","tensorflow.set_random_seed","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.2.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'set_random_seed'"
"tensorflow.set_random_seed","tensorflow","tensorflow.set_random_seed","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.1.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'set_random_seed'"
"tensorflow.set_random_seed","tensorflow","tensorflow.set_random_seed","tensorflow","[{""package"": ""tensorflow"", ""version"": ""2.0.0""}]","AttributeError","AttributeError: module 'tensorflow' has no attribute 'set_random_seed'"
"sklearn.preprocessing.Imputer","sklearn","sklearn.preprocessing.Imputer","sklearn","[{""package"": ""scikit-learn"", ""version"": ""1.0.1""}]","ImportError","ImportError: cannot import name 'Imputer' from 'sklearn.preprocessing'"
"keras.optimizers.Adam","keras","keras.optimizers.Adam","keras","[{""package"": ""keras"", ""version"": ""2.7.0""}]","ImportError","ImportError: cannot import name 'Adam' from 'keras.optimizers'"
"keras.initializers.glorot_uniform","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"sklearn.preprocessing.OneHotEncoder","scikit-learn","sklearn.preprocessing.OneHotEncoder","scikit-learn","[{""package"": ""scikit-learn"", ""version"": ""0.19.2""}]","TypeError","TypeError: __init__() got an unexpected keyword argument 'categories'"
"keras.layers.Embedding","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.layers.GRU","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
"keras.layers.LSTM","keras","tensorflow.python.framework.ops._TensorLike","tensorflow","[{""package"": ""keras"", ""version"": ""2.3.1""}, {""package"": ""tensorflow"", ""version"": ""2.3.1""}]","AttributeError","AttributeError: module 'tensorflow.python.framework.ops' has no attribute '_TensorLike'"
